registerNum,country1,durationDays,peopleDead,peopleDisplaced,mainCause1,severity,affectedSqKm,magnitude,centroidX,centroidY,region,sub_region,year,HDI,lifeExp,yearsSchool,GNIPerCapita
720,Zimbabwe,3,1,250,Heavy Rain,extreme,140745.48,5.926585707,30.1524,-20.8141,Africa,Eastern Africa,1992,0.509,57.5,10.9,1615
718,Philippines,6,6,22000,Heavy Rain,large,15083.86,4.956663743,125.923,7.78495,Asia,South-Eastern Asia,1992,0.668,68.2,11.3,7915
717,United Kingdom,3,0,0,Monsoon,large,29673.6,4.949491493,80.8649,8.40517,Europe,Northern Europe,1992,0.907,80.7,16.2,39267
716,United Kingdom,4,0,400,Heavy Rain,large,25631.18,5.010828592,-2.97961,51.5066,Europe,Northern Europe,1992,0.907,80.7,16.2,39267
715,United States,1,3,0,Hurricane/Tropical Storm,large,83.3733,1.921026992,-85.1568,29.6764,Americas,Northern America,1992,0.915,79.1,16.5,52947
714,Thailand,1,3,0,Hurricane/Tropical Storm,large,25180.94,4.401071938,100.911,6.76274,Asia,South-Eastern Asia,1992,0.726,74.4,13.5,13323
713,Albania,3,7,2000,Heavy Rain,extreme,5619.46,4.527845835,19.5629,42.0387,Europe,Southern Europe,1992,0.733,77.8,11.8,9943
712,Montenegro,6,0,0,Heavy Rain,large,1276.97,3.884331945,19.6623,42.9307,Europe,Southern Europe,1992,0.802,76.2,15.2,14558
711,Italy,1,0,1000,Heavy Rain,large,3332.49,3.522768855,11.14,43.6735,Europe,Southern Europe,1992,0.873,83.1,16,33030
710,Philippines,3,3,3300,Hurricane/Tropical Storm,large,56290.27,5.227554587,107.787,15.4343,Asia,South-Eastern Asia,1992,0.668,68.2,11.3,7915
709,Vietnam,4,49,3000,Hurricane/Tropical Storm,large,69558.74,5.444411698,108.663,14.9366,Asia,South-Eastern Asia,1992,0.666,75.8,11.9,5092
708,United Kingdom,2,3,0,Heavy Rain,large,12300,4.390935107,-0.054612,51.7363,Europe,Northern Europe,1992,0.907,80.7,16.2,39267
707,Australia,2,0,280,Heavy Rain,large,6763.03,4.13117131,139.376,-34.6886,Oceania,Australia and New Zealand,1992,0.935,82.4,20.2,42261
706,Montenegro,13,6,6140,Heavy Rain,large,14385.39,5.271864993,19.3521,42.701,Europe,Southern Europe,1992,0.802,76.2,15.2,14558
705,Vietnam,5,55,7579,Heavy Rain,large,51510.22,5.410863409,106.367,17.5324,Asia,South-Eastern Asia,1992,0.666,75.8,11.9,5092
704,France,11,12,120,Heavy Rain,large,135575.31,6.173573291,11.2843,42.7699,Europe,Western Europe,1992,0.888,82.2,16,38056
703,Italy,1,2,0,Heavy Rain,large,4076.56,3.610293839,8.93857,44.5004,Europe,Southern Europe,1992,0.873,83.1,16,33030
701,El Salvador,5,7,8000,Heavy Rain,large,94598.52,5.674854346,-98.3441,19.0255,Americas,Central America,1992,0.666,73,12.3,7349
