registerNum,country1,country2,dateBegan,dateEnded,durationDays,peopleDead,peopleDisplaced,damageUsd,mainCause1,mainCause2,mainCause3,severity,affectedSqKm,magnitude,centroidX,centroidY,region,sub_region,region_code,sub_region_code,year,GDPmil,GDPrank,Income Group OECD
4221,Greece,Albania,2/1/15 0:00,2/9/15 0:00,9,3,500,,Heavy Rain,,,very large,151104.52,6.309611224,26.5972,41.4571,Europe,Southern Europe,150,39,2015,235574,45,High income: OECD
4220,Bolivia,,1/5/15 0:00,2/9/15 0:00,36,23,1000,,Heavy Rain,,,very large,137629.71,6.871105955,-63.7661,-16.4638,Americas,South America,19,5,2015,32996,98,Lower middle income
4219,Malawi,Mozambique,1/1/15 0:00,2/9/15 0:00,40,276,336000,,Heavy Rain,,,extreme,485939.39,7.589672091,35.3564,-18.7946,Africa,Eastern Africa,2,14,2015,4258,161,Low income
4218,Australia,,1/5/15 0:00,1/11/15 0:00,7,1,0,,Heavy Rain,,,very large,1519623.45,7.202925286,127.056,-19.1872,Oceania,Australia and New Zealand,9,53,2015,1454675,12,High income: OECD
4217,Philippines,,12/10/14 0:00,1/1/15 0:00,23,53,80186,,Hurricane/Tropical Storm,,,very large,63967.39,6.343777726,124.903,8.65608,Asia,South-Eastern Asia,142,35,2014,284777,40,Lower middle income
4216,Malaysia,Thailand,12/20/14 0:00,1/1/15 0:00,13,34,215000,,Monsoon,,,extreme,90680.38,6.372486679,102.164,4.72508,Asia,South-Eastern Asia,142,35,2014,338104,35,Upper middle income
4215,Sri Lanka,,12/20/14 0:00,1/1/15 0:00,13,39,1000000,,Monsoon,,,very large,50316.81,5.991747711,80.9834,7.90972,Asia,Southern Asia,142,34,2014,78824,66,Lower middle income
4214,Colombia,,11/1/14 0:00,12/20/14 0:00,50,44,0,,Heavy Rain,,,very large,406009.51,7.48359747,-75.544,4.59198,Americas,South America,19,5,2014,377740,32,Upper middle income
4213,United States,,12/11/14 0:00,12/14/14 0:00,4,3,0,,Heavy Rain,,,large,70255.56,5.448740691,-123.101,39.7967,Americas,Northern America,19,21,2014,17419000,1,High income: OECD
4212,Brazil,,12/10/14 0:00,12/14/14 0:00,5,0,0,,Heavy Rain,,,large,199807.2,5.999581138,-49.2145,-24.8513,Americas,South America,19,5,2014,2346076,7,Upper middle income
4211,Bulgaria,Greece,12/4/14 0:00,12/14/14 0:00,11,40,1000,,Heavy Rain,,,very large,147616.57,6.386619054,27.7106,41.4579,Europe,Eastern Europe,150,151,2014,56717,79,Upper middle income
4210,Palestine,,11/26/14 0:00,12/5/14 0:00,10,0,300,,Heavy Rain,,,very large,2861.66,4.632709292,34.4532,31.3378,,,,,2014,,,
4209,France,,11/29/14 0:00,12/5/14 0:00,7,5,3000,,Heavy Rain,,,very large,123269.25,6.112044053,0.863937,43.999,Europe,Western Europe,150,155,2014,2829192,6,High income: OECD
4208,United States,,12/1/14 0:00,12/5/14 0:00,5,0,40,,Heavy Rain,,,large,202666.27,6.005751479,-117.212,35.4299,Americas,Northern America,19,21,2014,17419000,1,High income: OECD
4207,Morocco,,11/24/14 0:00,12/5/14 0:00,12,40,0,,Heavy Rain,,,extreme,273693.63,6.817475931,-5.61886,31.5566,Africa,Northern Africa,2,15,2014,110009,61,Lower middle income
4206,Thailand,,11/7/14 0:00,11/16/14 0:00,10,0,1000,,Monsoon,,,large,31653.08,5.500415975,99.5163,8.02409,Asia,South-Eastern Asia,142,35,2014,404824,29,Upper middle income
4205,Italy,,11/12/14 0:00,11/16/14 0:00,5,5,0,,Heavy Rain,,,very large,36733.48,5.440123337,10.6129,45.9281,Europe,Southern Europe,150,39,2014,2141161,8,High income: OECD
4204,Indonesia,,11/14/14 0:00,11/16/14 0:00,3,0,2400,,Heavy Rain,,,large,57442.62,5.236355495,100.753,-1.02615,Asia,South-Eastern Asia,142,35,2014,888538,16,Lower middle income
4203,France,,11/13/14 0:00,11/16/14 0:00,4,5,0,,Heavy Rain,,,very large,36709.07,5.342924632,5.09507,44.2452,Europe,Western Europe,150,155,2014,2829192,6,High income: OECD
4202,Greece,,10/25/14 0:00,10/27/14 0:00,3,0,0,,Heavy Rain,Hurricane/Tropical Storm,,large,4855.4,4.163346269,23.4176,38.1738,Europe,Southern Europe,150,39,2014,235574,45,High income: OECD
4201,Somalia,Ethiopia,10/24/14 0:00,11/16/14 0:00,24,0,21000,,Heavy Rain,,,very large,42635.81,6.186077019,45.2538,4.13428,Africa,Eastern Africa,2,14,2014,5707,150,Low income
4200,India,Sri Lanka,10/22/14 0:00,10/27/14 0:00,6,5,300,,Monsoon,,,large,115476.31,5.840644148,78.2616,10.2916,Asia,Southern Asia,142,34,2014,2048517,9,Lower middle income
4199,Spain,,10/19/14 0:00,10/22/14 0:00,4,1,0,,Heavy Rain,,,large,7566.97,4.480982003,-16.5329,28.2782,Europe,Southern Europe,150,39,2014,1381342,14,High income: OECD
4198,India,,10/12/14 0:00,10/27/14 0:00,16,42,0,,Hurricane/Tropical Storm,,,very large,376261.49,6.955701013,79.6967,18.4473,Asia,Southern Asia,142,34,2014,2048517,9,Lower middle income
4197,Mexico,,10/18/14 0:00,10/27/14 0:00,10,6,4000,,Hurricane/Tropical Storm,,,very large,187176.03,6.448341491,-98.4317,21.7845,Americas,Central America,19,13,2014,1294690,15,Upper middle income
4196,South Sudan,,10/15/14 0:00,10/27/14 0:00,13,4,140,,Heavy Rain,,,large,388189.52,6.702987159,31.1747,6.69427,Africa,Eastern Africa,2,14,2014,13282,126,Low income
4195,United States,,10/21/14 0:00,10/22/14 0:00,2,0,0,,Heavy Rain,,,large,8447.1,4.227737631,-80.4061,26.9326,Americas,Northern America,19,21,2014,17419000,1,High income: OECD
4194,Nicaragua,Honduras,10/15/14 0:00,10/27/14 0:00,13,24,33000,,Heavy Rain,,,very large,221816.02,6.63602752,-87.5693,13.8455,Americas,Central America,19,13,2014,11806,135,Lower middle income
4193,Nicaragua,,10/9/14 0:00,10/11/14 0:00,3,1,50,,Heavy Rain,,,very large,79061.87,5.551179596,-85.6393,12.6289,Americas,Central America,19,13,2014,11806,135,Lower middle income
4192,Italy,,10/10/14 0:00,10/11/14 0:00,2,1,0,,Heavy Rain,,,large,6229.19,4.095461573,9.17775,44.6146,Europe,Southern Europe,150,39,2014,2141161,8,High income: OECD
4191,Democratic Republic of Congo,,10/4/14 0:00,10/11/14 0:00,8,4,200,,Monsoon,,,large,781320.47,6.79591919,25.2115,-7.98006,Africa,Middle Africa,2,17,2014,14177,123,Low income
4190,Malaysia,,10/4/14 0:00,10/11/14 0:00,8,0,100,,Heavy Rain,,,large,31695.74,5.404090883,117.183,6.0074,Asia,South-Eastern Asia,142,35,2014,338104,35,Upper middle income
